[CURRENT] Sales Transaction Export,,,,,,,,
Oliveseed Foundation,,,,,,,,
"January, 2023-December, 2030",,,,,,,,

Donor,Transaction date,Num,Product/Service full name,Amount,REF #,Line created by,Line created date,Item class
Donor 1973,11/24/2024,9254,Name 1313,479.95,47830736,Barb Mackraz,11/25/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1974,11/24/2024,9257,Name 1314,250.00,1234,Barb Mackraz,11/30/2024 12:47:42 PM,OliveSeed Fdn - Operations
Donor 1975,11/24/2024,9265,Name 1315,90.00,1505,Barb Mackraz,12/02/2024 01:24:31 PM,School Projects
Donor 1976,11/24/2024,9265,Name 1316,10.00,1505,Barb Mackraz,12/02/2024 01:24:31 PM,OliveSeed Fdn - Operations
Donor 1977,11/25/2024,9256,Name 1317,"1,000.00",0002202055,Barb Mackraz,11/30/2024 12:46:15 PM,OliveSeed Fdn - Operations
Donor 1978,11/25/2024,9268,Name 1318,"1,000.00",15029488,Barb Mackraz,12/03/2024 08:02:37 PM,OliveSeed Fdn - Operations
Donor 1979,11/25/2024,9389,Name 1319,24.28,60AR0FPZSM,Barb Mackraz,06/11/2025 05:27:19 PM,School Projects
Donor 1980,11/25/2024,9454,Name 1320,175.44,,Peter Lee,07/01/2025 03:05:34 PM,OliveSeed Fdn - Operations
Donor 1981,11/26/2024,9390,Name 1321,48.55,60TZ5P6V97,Barb Mackraz,06/11/2025 05:28:42 PM,OliveSeed Fdn - Operations
Donor 1982,11/27/2024,9266,Name 1322,"2,000.00",0002221863,Barb Mackraz,12/02/2024 01:26:42 PM,OliveSeed Fdn - Operations
Donor 1983,11/27/2024,9267,Name 1323,"1,000.00",4030855706,Barb Mackraz,12/02/2024 01:27:40 PM,OliveSeed Fdn - Operations
Donor 1984,11/27/2024,9391,Name 1324,"1,000.00",60X5JS65LV,Barb Mackraz,06/11/2025 05:32:06 PM,OliveSeed Fdn - Operations
Donor 1985,11/30/2024,9261,Name 1325,143.78,48031146,Barb Mackraz,11/29/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1986,11/30/2024,9262,Name 1326,"10,800.00",,Barb Mackraz,11/30/2024 01:18:31 PM,School Projects
Donor 1987,11/30/2024,9262,Name 1327,"1,200.00",,Barb Mackraz,11/30/2024 01:18:31 PM,OliveSeed Fdn - Operations
Donor 1988,12/04/2024,9269,Name 1328,95.75,48262475,Barb Mackraz,12/04/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1989,12/05/2024,9271,Name 1329,479.95,48304399,Barb Mackraz,12/06/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1990,12/06/2024,9270,Name 1330,900.00,5871,Barb Mackraz,12/06/2024 04:05:26 PM,School Projects
Donor 1991,12/06/2024,9270,Name 1331,100.00,5871,Barb Mackraz,12/06/2024 04:05:26 PM,OliveSeed Fdn - Operations
Donor 1992,12/07/2024,9384,Name 1332,99.99,48385546,Barb Mackraz,06/11/2025 04:59:07 PM,OliveSeed Fdn - Operations
Donor 1993,12/09/2024,9272,Name 1333,35.00,246,Barb Mackraz,12/09/2024 11:18:25 AM,OliveSeed Fdn - Operations
Donor 1994,12/09/2024,9280,Name 1334,10.00,1159,Barb Mackraz,12/17/2024 08:12:12 PM,OliveSeed Fdn - Operations
Donor 1995,12/09/2024,9280,Name 1335,90.00,1159,Barb Mackraz,12/17/2024 08:12:12 PM,School Projects
Donor 1996,12/10/2024,9274,Name 1336,40.00,162,Barb Mackraz,12/12/2024 05:20:22 PM,OliveSeed Fdn - Operations
Donor 1997,12/10/2024,9275,Name 1337,"1,000.00",2629,Barb Mackraz,12/12/2024 05:24:55 PM,Scholars
Donor 1998,12/12/2024,9273,Name 1338,90.00,3053,Barb Mackraz,12/12/2024 05:17:21 PM,OliveSeed Fdn - Operations
Donor 1999,12/12/2024,9277,Name 1339,419.99,48591886,Barb Mackraz,12/14/2024 10:03:27 AM,OliveSeed Fdn - Operations
Donor 2000,12/12/2024,9282,Name 1340,"1,000.00",76164,Barb Mackraz,12/17/2024 08:14:39 PM,Scholars
Donor 2001,12/12/2024,9283,Name 1341,"4,000.00",76163,Barb Mackraz,12/17/2024 08:17:26 PM,Women's Work Center
Donor 2002,12/12/2024,9283,Name 1342,"2,000.00",76163,Barb Mackraz,12/17/2024 08:17:26 PM,OliveSeed Fdn - Operations
Donor 2003,12/13/2024,9276,Name 1343,"1,000.00",48623464,Barb Mackraz,12/12/2024 04:00:00 PM,Scholars
Donor 2004,12/13/2024,9278,Name 1344,40.00,8600,Barb Mackraz,12/15/2024 10:11:38 AM,OliveSeed Fdn - Operations
Donor 2005,12/14/2024,9279,Name 1345,120.00,8136,Barb Mackraz,12/15/2024 10:12:44 AM,OliveSeed Fdn - Operations
Donor 2006,12/15/2024,9293,Name 1346,200.00,48698790,Barb Mackraz,12/27/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 2007,12/16/2024,9285,Name 1347,500.00,2466113,Barb Mackraz,12/21/2024 12:42:04 PM,OliveSeed Fdn - Operations
Donor 2008,12/17/2024,9281,Name 1348,144.00,3061,Barb Mackraz,12/17/2024 08:13:27 PM,Women's Work Center
Donor 2009,12/17/2024,9289,Name 1349,"5,000.00",285944,Barb Mackraz,12/27/2024 10:56:02 PM,OliveSeed Fdn - Operations
Donor 2010,12/18/2024,9284,Name 1350,500.00,371,Barb Mackraz,12/17/2024 08:25:07 PM,Scholars
Donor 2011,12/18/2024,9284,Name 1351,"1,000.00",371,Barb Mackraz,12/17/2024 08:25:07 PM,Scholars
Donor 2012,12/18/2024,9288,Name 1352,200.00,185127,Barb Mackraz,12/27/2024 10:43:50 PM,OliveSeed Fdn - Operations
Donor 2013,12/18/2024,9291,Name 1353,120.00,48794565,Barb Mackraz,12/27/2024 04:00:00 PM,Women's Work Center
Donor 2014,12/18/2024,9292,Name 1354,143.78,48781722,Barb Mackraz,12/27/2024 11:22:07 PM,OliveSeed Fdn - Operations
Donor 2015,12/22/2024,9392,Name 1355,394.50,64FB9JWB05,Barb Mackraz,06/11/2025 05:34:43 PM,OliveSeed Fdn - Operations
Donor 2016,12/23/2024,9286,Name 1356,50.00,48978990,Barb Mackraz,12/24/2024 09:16:06 AM,OliveSeed Fdn - Operations
Donor 2017,12/23/2024,9298,Name 1357,250.00,870779999,Barb Mackraz,01/02/2025 01:31:55 PM,OliveSeed Fdn - Operations
Donor 2018,12/23/2024,9385,Name 1358,50.60,48969101,Barb Mackraz,06/11/2025 05:02:34 PM,OliveSeed Fdn - Operations
Donor 2019,12/24/2024,9290,Name 1359,50.00,49024949,Barb Mackraz,12/27/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 2020,12/24/2024,9294,Name 1360,"2,200.00",3211046,Barb Mackraz,12/27/2024 11:41:25 PM,Scholars
Donor 2021,12/24/2024,9308,Name 1361,"2,500.00",110,Barb Mackraz,01/23/2025 03:11:37 PM,OliveSeed Fdn - Operations
Donor 2022,12/24/2024,/,Name 1362,287.85,49026637,Jim Mackraz,06/11/2025 05:06:30 PM,OliveSeed Fdn - Operations
Donor 2023,12/27/2024,9287,Name 1363,150.00,49109677,Barb Mackraz,12/27/2024 02:52:00 PM,OliveSeed Fdn - Operations
Donor 2024,12/28/2024,9295,Name 1364,15.00,49151355,Barb Mackraz,12/28/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 2025,12/29/2024,9296,Name 1365,"1,000.00",,Barb Mackraz,12/29/2024 11:14:05 PM,School Projects
Donor 2026,12/30/2024,9301,Name 1366,960.20,49254382,Barb Mackraz,01/13/2025 01:55:06 AM,OliveSeed Fdn - Operations
Donor 2027,12/30/2024,9302,Name 1367,143.78,49230684,Barb Mackraz,01/13/2025 01:58:19 AM,OliveSeed Fdn - Operations
Donor 2028,12/30/2024,9306,Name 1368,246.91,49255471,Barb Mackraz,01/21/2025 01:52:59 PM,OliveSeed Fdn - Operations
Donor 2029,12/30/2024,9455,Name 1369,176.52,,Peter Lee,07/01/2025 03:06:21 PM,OliveSeed Fdn - Operations
Donor 2030,12/31/2024,9297,Name 1370,250.00,349,Barb Mackraz,12/30/2024 09:42:05 PM,OliveSeed Fdn - Operations
Donor 2031,12/31/2024,9386,Name 1371,47.72,49313100,Barb Mackraz,06/11/2025 05:10:16 PM,MLP
Donor 2032,01/02/2025,9299,Name 1372,50.00,49389063,Barb Mackraz,01/05/2025 08:47:09 AM,OliveSeed Fdn - Operations
Donor 2033,01/07/2025,9300,Name 1373,"2,200.00",240-939535-48180,Barb Mackraz,01/10/2025 02:22:09 AM,Scholars
Donor 2034,01/08/2025,9401,Name 1374,99.99,49604702,Jim Mackraz,06/24/2025 03:17:01 PM,OliveSeed Fdn - Operations
Donor 2035,01/11/2025,9309,Name 1375,50.00,787,Barb Mackraz,01/23/2025 03:12:43 PM,OliveSeed Fdn - Operations
Donor 2036,01/17/2025,9402,Name 1376,24.96,49896014,Jim Mackraz,06/24/2025 03:18:54 PM,OliveSeed Fdn - Operations
Donor 2037,01/18/2025,9403,Name 1377,143.78,49912445,Jim Mackraz,06/24/2025 03:21:16 PM,OliveSeed Fdn - Operations
Donor 2038,01/22/2025,9404,Name 1378,310.00,50019014,Jim Mackraz,06/23/2025 05:00:00 PM,MLP
Donor 2039,01/23/2025,9405,Name 1379,50.60,50059996,Jim Mackraz,06/24/2025 03:28:08 PM,OliveSeed Fdn - Operations
Donor 2040,01/30/2025,9318,Name 1380,"1,000.00",945440567,Barb Mackraz,02/10/2025 07:17:04 AM,Scholars
Donor 2041,01/30/2025,9322,Name 1381,500.00,1132006055,Jim Mackraz,02/28/2025 12:57:22 PM,OliveSeed Fdn - Operations
Donor 2042,01/30/2025,9406,Name 1382,143.78,50269903,Jim Mackraz,06/24/2025 03:29:47 PM,OliveSeed Fdn - Operations
Donor 2043,01/31/2025,9311,Name 1383,500.00,1223,Barb Mackraz,02/03/2025 06:30:40 PM,OliveSeed Fdn - Operations
Donor 2044,02/03/2025,9312,Name 1384,143.78,,Barb Mackraz,02/03/2025 10:38:47 PM,OliveSeed Fdn - Operations
Donor 2045,02/03/2025,9313,Name 1385,310.00,,Barb Mackraz,02/03/2025 10:41:08 PM,Writing and Publishing
Donor 2046,02/04/2025,9314,Name 1386,250.00,1247,Barb Mackraz,02/06/2025 07:31:31 PM,Scholars
Donor 2047,02/04/2025,9316,Name 1387,500.00,2644,Barb Mackraz,02/06/2025 07:34:30 PM,Scholars
Donor 2048,02/05/2025,9315,Name 1388,300.00,1054,Barb Mackraz,02/06/2025 07:33:08 PM,Scholars
Donor 2049,02/07/2025,9317,Name 1389,50.00,,Barb Mackraz,02/07/2025 04:59:49 PM,Scholars
Donor 2050,02/18/2025,9407,Name 1390,143.78,50910028,Jim Mackraz,06/24/2025 03:31:01 PM,OliveSeed Fdn - Operations
Donor 2051,02/20/2025,9321,Name 1391,"2,000.00",1526,Jim Mackraz,02/28/2025 12:59:13 PM,OliveSeed Fdn - Operations
Donor 2052,02/23/2025,9408,Name 1392,50.60,51066336,Jim Mackraz,06/24/2025 03:32:01 PM,OliveSeed Fdn - Operations
Donor 2053,02/28/2025,9409,Name 1393,143.78,51294012,Jim Mackraz,06/24/2025 03:34:04 PM,OliveSeed Fdn - Operations
Donor 2054,03/01/2025,9410,Name 1394,47.63,51339764,Jim Mackraz,06/24/2025 03:44:18 PM,Women's Work Center
Donor 2055,03/03/2025,9327,Name 1395,500.00,,Barb Mackraz,03/12/2025 08:40:29 PM,School Projects
Donor 2056,03/03/2025,9328,Name 1396,500.00,,Barb Mackraz,03/12/2025 08:41:15 PM,School Projects
Donor 2057,03/05/2025,9325,Name 1397,100.00,,Barb Mackraz,03/08/2025 01:29:19 AM,OliveSeed Fdn - Operations
Donor 2058,03/05/2025,9326,Name 1398,"80,900.00",,Barb Mackraz,03/07/2025 04:00:00 PM,Other Water
Donor 2059,03/05/2025,9394,Name 1399,52.80,6ACCS7NZMK,Barb Mackraz,06/11/2025 05:00:00 PM,School Projects
Donor 2060,03/05/2025,9463,Name 1400,51.48,6ACCSZJAYD,Jim Mackraz,07/19/2025 05:00:00 PM,Women's Work Center
Donor 2061,03/18/2025,9411,Name 1401,143.78,52033329,Jim Mackraz,06/24/2025 03:45:16 PM,OliveSeed Fdn - Operations
Donor 2062,03/21/2025,9393,Name 1402,500.00,6BEEZD8PZT,Barb Mackraz,06/11/2025 05:00:00 PM,OliveSeed Fdn - Operations
Donor 2063,03/21/2025,9412,Name 1403,95.75,52152897,Jim Mackraz,06/24/2025 03:48:51 PM,OliveSeed Fdn - Operations
Donor 2064,03/21/2025,9413,Name 1404,99.99,52153106,Jim Mackraz,06/24/2025 03:50:34 PM,OliveSeed Fdn - Operations
Donor 2065,03/21/2025,9414,Name 1405,250.00,52153367,Jim Mackraz,06/24/2025 03:52:43 PM,OliveSeed Fdn - Operations
Donor 2066,03/21/2025,9415,Name 1406,23.71,52153663,Jim Mackraz,06/24/2025 03:56:33 PM,OliveSeed Fdn - Operations
Donor 2067,03/21/2025,9416,Name 1407,95.75,52153689,Jim Mackraz,06/24/2025 03:57:48 PM,OliveSeed Fdn - Operations
Donor 2068,03/21/2025,9417,Name 1408,50.00,52157112,Jim Mackraz,06/24/2025 03:59:11 PM,OliveSeed Fdn - Operations
Donor 2069,03/21/2025,9418,Name 1409,25.00,52160134,Jim Mackraz,06/24/2025 04:00:24 PM,OliveSeed Fdn - Operations
Donor 2070,03/23/2025,9419,Name 1410,50.60,52220527,Jim Mackraz,06/24/2025 04:01:16 PM,OliveSeed Fdn - Operations
Donor 2071,03/23/2025,9420,Name 1411,400.00,52242770,Jim Mackraz,06/24/2025 04:07:07 PM,Women's Work Center
Donor 2072,03/24/2025,9340,Name 1412,500.00,0003252924,Barb Mackraz,03/28/2025 05:00:00 PM,OliveSeed Fdn - Operations
Donor 2073,03/25/2025,9341,Name 1413,750.00,1056,Barb Mackraz,03/28/2025 05:07:53 PM,OliveSeed Fdn - Operations
Donor 2074,03/25/2025,9421,Name 1414,99.99,52322004,Jim Mackraz,06/24/2025 04:11:20 PM,OliveSeed Fdn - Operations
Donor 2075,03/26/2025,9422,Name 1415,25.00,52379634,Jim Mackraz,06/24/2025 04:12:08 PM,OliveSeed Fdn - Operations
Donor 2076,03/27/2025,9464,Name 1416,0.02,9AS90685GN9500538,Jim Mackraz,07/20/2025 02:34:07 PM,OliveSeed Fdn - Operations
Donor 2077,03/30/2025,9423,Name 1417,143.78,52595962,Jim Mackraz,06/24/2025 04:13:29 PM,OliveSeed Fdn - Operations
Donor 2078,04/01/2025,9344,Name 1418,"1,500.00",403127493,Barb Mackraz,04/04/2025 05:42:30 PM,OliveSeed Fdn - Operations
Donor 2079,04/01/2025,9395,Name 1419,53.40,6CJ3G8V12M,Barb Mackraz,06/11/2025 05:41:59 PM,Women's Work Center
Donor 2080,04/02/2025,9345,Name 1420,500.00,407,Barb Mackraz,04/07/2025 04:29:40 PM,School Projects
Donor 2081,04/02/2025,9424,Name 1421,47.10,52748613,Jim Mackraz,06/24/2025 04:15:56 PM,OliveSeed Fdn - Operations
Donor 2082,04/04/2025,9375,Name 1422,100.00,,Barb Mackraz,05/15/2025 05:00:00 PM,Other Water
Donor 2083,04/07/2025,9346,Name 1423,"2,000.00",376,Barb Mackraz,04/07/2025 09:00:09 PM,Writing and Publishing
Donor 2084,04/08/2025,9347,Name 1424,500.00,5717,Barb Mackraz,04/08/2025 02:08:53 PM,School Projects
Donor 2085,04/09/2025,9425,Name 1425,"1,000.00",52973369,Jim Mackraz,06/24/2025 04:16:36 PM,OliveSeed Fdn - Operations
Donor 2086,04/15/2025,9349,Name 1426,"2,500.00",238,Barb Mackraz,04/15/2025 01:34:31 PM,School Projects
Donor 2087,04/16/2025,9350,Name 1427,70.00,2657,Barb Mackraz,04/16/2025 07:00:27 PM,OliveSeed Fdn - Operations
Donor 2088,04/16/2025,9426,Name 1428,191.30,53200881,Jim Mackraz,06/24/2025 04:17:58 PM,OliveSeed Fdn - Operations
Donor 2089,04/18/2025,9427,Name 1429,143.40,53245453,Jim Mackraz,06/24/2025 04:19:01 PM,OliveSeed Fdn - Operations
Donor 2090,04/21/2025,9374,Name 1430,"8,500.00",,Barb Mackraz,05/15/2025 10:00:53 PM,Other Water
Donor 2091,04/23/2025,9428,Name 1431,50.47,53398791,Jim Mackraz,06/24/2025 04:19:42 PM,OliveSeed Fdn - Operations
Donor 2092,04/23/2025,9465,Name 1432,202.52,1N752679UX9536725,Jim Mackraz,07/20/2025 02:35:15 PM,OliveSeed Fdn - Operations
Donor 2093,04/24/2025,9355,Name 1433,200.00,6728,Barb Mackraz,04/29/2025 12:08:10 PM,OliveSeed Fdn - Operations
Donor 2094,04/24/2025,9429,Name 1434,287.10,53439743,Jim Mackraz,06/24/2025 04:20:21 PM,OliveSeed Fdn - Operations
Donor 2095,04/26/2025,9430,Name 1435,957.70,53511638,Jim Mackraz,06/24/2025 04:21:04 PM,OliveSeed Fdn - Operations
Donor 2096,04/26/2025,9431,Name 1436,23.51,53513432,Jim Mackraz,06/24/2025 04:22:42 PM,OliveSeed Fdn - Operations
Donor 2097,04/28/2025,9354,Name 1437,"1,000.00",239,Barb Mackraz,04/29/2025 12:06:08 PM,OliveSeed Fdn - Operations
Donor 2098,04/28/2025,9432,Name 1438,239.20,53549720,Jim Mackraz,06/24/2025 04:23:24 PM,OliveSeed Fdn - Operations
Donor 2099,04/29/2025,9362,Name 1439,250.00,103,Barb Mackraz,04/29/2025 06:00:55 PM,Women's Work Center
Donor 2100,04/29/2025,9362,Name 1440,250.00,103,Barb Mackraz,04/29/2025 06:00:55 PM,Scholars
Donor 2101,04/29/2025,9367,Name 1441,250.00,15583520,Barb Mackraz,05/07/2025 02:41:40 PM,OliveSeed Fdn - Operations
Donor 2102,04/29/2025,9433,Name 1442,47.60,53597968,Jim Mackraz,06/24/2025 04:24:29 PM,OliveSeed Fdn - Operations
Donor 2103,04/30/2025,9434,Name 1443,143.40,53623631,Jim Mackraz,06/24/2025 04:25:06 PM,OliveSeed Fdn - Operations
Donor 2104,04/30/2025,9435,Name 1444,49.62,53644752,Jim Mackraz,06/24/2025 04:25:50 PM,OliveSeed Fdn - Operations
Donor 2105,05/01/2025,9371,Name 1445,200.00,950067227,Barb Mackraz,05/13/2025 03:13:05 PM,School Projects
Donor 2106,05/02/2025,9365,Name 1446,"6,000.00",9200502235,Barb Mackraz,05/02/2025 11:00:18 AM,Clean Water Project
Donor 2107,05/03/2025,9436,Name 1447,992.25,53729871,Jim Mackraz,06/24/2025 04:29:05 PM,Clean Water Project
Donor 2108,05/07/2025,9368,Name 1448,"5,000.00",,Barb Mackraz,05/08/2025 07:33:46 PM,Clean Water Project
Donor 2109,05/10/2025,9372,Name 1449,24.00,1983,Barb Mackraz,05/13/2025 03:14:22 PM,Small Projects
Donor 2110,05/12/2025,9369,Name 1450,500.00,179,Barb Mackraz,05/12/2025 04:33:21 PM,School Projects
Donor 2111,05/12/2025,9370,Name 1451,500.00,422,Barb Mackraz,05/12/2025 04:34:15 PM,School Projects
Donor 2112,05/14/2025,9376,Name 1452,50.00,003538984,Barb Mackraz,05/22/2025 06:02:25 PM,OliveSeed Fdn - Operations
Donor 2113,05/18/2025,9437,Name 1453,143.40,54230993,Jim Mackraz,06/24/2025 04:35:17 PM,OliveSeed Fdn - Operations
Donor 2114,05/22/2025,9377,Name 1454,183.00,10863,Barb Mackraz,05/22/2025 06:04:40 PM,OliveSeed Fdn - Operations
Donor 2115,05/23/2025,9438,Name 1455,50.47,54408991,Jim Mackraz,06/24/2025 04:35:58 PM,OliveSeed Fdn - Operations
Donor 2116,05/26/2025,9439,Name 1456,98.95,54521515,Jim Mackraz,06/24/2025 04:37:00 PM,OliveSeed Fdn - Operations
Donor 2117,05/30/2025,9440,Name 1457,143.40,54661021,Jim Mackraz,06/24/2025 04:37:44 PM,OliveSeed Fdn - Operations
Donor 2118,06/02/2025,9466,Name 1458,400.00,1539465121TC,Barb Mackraz,07/22/2025 07:19:38 PM,Scholars
Donor 2119,06/04/2025,9448,Name 1459,"2,000.00",950193750,Barb Mackraz,06/27/2025 10:45:12 AM,OliveSeed Fdn - Operations
Donor 2120,06/05/2025,9441,Name 1460,47.25,54887077,Jim Mackraz,06/24/2025 04:39:32 PM,OliveSeed Fdn - Operations
Donor 2121,06/05/2025,9442,Name 1461,95.52,54889939,Jim Mackraz,06/24/2025 04:41:14 PM,OliveSeed Fdn - Operations
Donor 2122,06/16/2025,9443,Name 1462,335.00,55206687,Jim Mackraz,06/24/2025 04:42:24 PM,OliveSeed Fdn - Operations
Donor 2123,06/18/2025,9444,Name 1463,143.40,55310758,Jim Mackraz,06/24/2025 04:42:59 PM,OliveSeed Fdn - Operations
Donor 2124,06/18/2025,9445,Name 1464,23.14,55389636,Jim Mackraz,06/24/2025 04:45:10 PM,Women's Work Center
Donor 2125,06/23/2025,9446,Name 1465,50.47,55465951,Jim Mackraz,06/24/2025 04:46:25 PM,OliveSeed Fdn - Operations
Donor 2126,06/24/2025,9449,Name 1466,300.00,1059,Barb Mackraz,06/27/2025 10:46:53 AM,Scholars
Donor 2127,06/24/2025,9450,Name 1467,"20,000.00",05127923,Barb Mackraz,06/30/2025 05:00:00 PM,School Projects
Donor 2128,06/24/2025,9450,Name 1468,"4,000.00",05127923,Barb Mackraz,06/30/2025 05:00:00 PM,OliveSeed Fdn - Operations
Donor 2129,06/30/2025,9456,Name 1469,236.25,55670499,Peter Lee,07/03/2025 03:00:51 PM,OliveSeed Fdn - Operations
Donor 2130,06/30/2025,9457,Name 1470,500.01,55670527,Peter Lee,07/03/2025 03:05:11 PM,OliveSeed Fdn - Operations
Donor 2131,06/30/2025,9458,Name 1471,94.50,55670541,Peter Lee,07/03/2025 03:08:28 PM,OliveSeed Fdn - Operations
Donor 2132,06/30/2025,9459,Name 1472,143.40,55702153,Peter Lee,07/03/2025 03:09:53 PM,OliveSeed Fdn - Operations
Donor 2133,07/01/2025,9462,Name 1473,500.00,2680,Barb Mackraz,07/09/2025 04:57:42 PM,Scholars
Donor 2134,07/01/2025,9469,Name 1474,478.70,55744547,Peter Lee,07/30/2025 02:27:24 PM,OliveSeed Fdn - Operations
Donor 2135,07/02/2025,9460,Name 1475,"16,672.00",,Barb Mackraz,07/06/2025 05:00:00 PM,OliveSeed Fdn - Operations
Donor 2136,07/02/2025,9460,Name 1476,"1,200.00",,Barb Mackraz,07/30/2025 09:25:46 PM,Scholars
Donor 2137,07/06/2025,9471,Name 1477,94.50,55904146,Peter Lee,07/30/2025 02:36:01 PM,OliveSeed Fdn - Operations
Donor 2138,07/07/2025,9461,Name 1478,"1,800.00",77535,Barb Mackraz,07/08/2025 05:00:00 PM,Writing and Publishing
Donor 2139,07/14/2025,9474,Name 1479,0.02,8CH03434G07254407,Peter Lee,07/30/2025 03:05:53 PM,OliveSeed Fdn - Operations
Donor 2140,07/17/2025,9467,Name 1480,250.00,105,Barb Mackraz,07/23/2025 10:45:22 AM,Scholars
Donor 2141,07/17/2025,9470,Name 1481,47.51,56220366,Peter Lee,07/30/2025 02:33:35 PM,School Projects
Donor 2142,07/18/2025,9472,Name 1482,143.40,56260868,Peter Lee,07/30/2025 02:37:05 PM,OliveSeed Fdn - Operations
Donor 2143,07/23/2025,9473,Name 1483,50.47,56424510,Peter Lee,07/30/2025 02:37:46 PM,OliveSeed Fdn - Operations
Donor 2144,07/24/2025,9468,Name 1484,"1,000.00",1761852,Barb Mackraz,07/29/2025 08:49:54 PM,Writing and Publishing
Donor 2145,07/28/2025,9506,Name 1485,500.00,6MD9SX8E6Z,Peter Lee,11/17/2025 02:47:49 PM,OliveSeed Fdn - Operations
Donor 2146,07/28/2025,9506,Name 1486,"1,500.00",6MD9SX8E6Z,Peter Lee,11/17/2025 02:47:49 PM,OliveSeed Fdn - Operations
Donor 2147,07/29/2025,9475,Name 1487,"1,200.00",77627,Barb Mackraz,07/31/2025 01:46:24 PM,Scholars
Donor 2148,07/29/2025,9475,Name 1488,800.00,77627,Barb Mackraz,07/31/2025 01:46:24 PM,Writing and Publishing (K)
Donor 2149,07/30/2025,9505,Name 1489,143.40,56732389,Peter Lee,11/17/2025 02:16:39 PM,OliveSeed Fdn - Operations
Donor 2150,08/12/2025,9476,Name 1490,"1,200.00",77716,Barb Mackraz,08/14/2025 02:39:57 PM,Writing and Publishing
Donor 2151,08/12/2025,9476,Name 1491,200.00,77716,Barb Mackraz,08/14/2025 02:39:57 PM,Writing and Publishing (K)
Donor 2152,08/18/2025,9479,Name 1492,143.40,57346925,Peter Lee,09/15/2025 12:59:57 PM,OliveSeed Fdn - Operations
Donor 2153,08/21/2025,9477,Name 1493,400.00,00344348,Barb Mackraz,08/27/2025 02:40:55 PM,Scholars
Donor 2154,08/23/2025,9481,Name 1494,50.47,,Peter Lee,09/15/2025 01:10:59 PM,OliveSeed Fdn - Operations
Donor 2155,08/25/2025,9478,Name 1495,"9,000.00",05145038,Barb Mackraz,08/28/2025 03:12:12 PM,School Projects
Donor 2156,08/25/2025,9478,Name 1496,"1,000.00",05145038,Barb Mackraz,08/28/2025 03:12:12 PM,OliveSeed Fdn - Operations
Donor 2157,08/30/2025,9480,Name 1497,143.40,,Peter Lee,09/15/2025 01:02:24 PM,OliveSeed Fdn - Operations
Donor 2158,09/15/2025,9482,Name 1498,700.00,,Barb Mackraz,09/15/2025 07:09:12 PM,Scholars
Donor 2159,09/18/2025,9499,Name 1499,143.40,58480063,Peter Lee,11/17/2025 11:45:11 AM,OliveSeed Fdn - Operations
Donor 2160,09/23/2025,9483,Name 1500,"5,000.00",0000995255,Barb Mackraz,09/26/2025 02:52:41 PM,Women's Work Center
Donor 2161,09/23/2025,9500,Name 1501,50.47,58671783,Peter Lee,11/17/2025 12:00:48 PM,OliveSeed Fdn - Operations
Donor 2162,09/29/2025,9484,Name 1502,"1,125.00",78058,Barb Mackraz,09/29/2025 06:05:34 PM,Writing and Publishing (K)
Donor 2163,09/30/2025,9487,Name 1503,"3,640.50",,Julie Mikesell,10/13/2025 12:15:49 PM,OliveSeed Fdn - Operations
Donor 2164,09/30/2025,9501,Name 1504,143.40,58930527,Peter Lee,11/17/2025 12:02:21 PM,OliveSeed Fdn - Operations
Donor 2165,10/09/2025,9485,Name 1505,"3,300.00",595,Barb Mackraz,10/09/2025 01:21:56 PM,School Projects
Donor 2166,10/09/2025,9486,Name 1506,500.00,215,Barb Mackraz,10/09/2025 01:24:37 PM,Women's Work Center
Donor 2167,10/09/2025,9486,Name 1507,500.00,215,Barb Mackraz,10/09/2025 01:24:37 PM,OliveSeed Fdn - Operations
Donor 2168,10/09/2025,9489,Name 1508,"1,050.00",78346,Barb Mackraz,10/14/2025 02:40:39 PM,Writing and Publishing (K)
Donor 2169,10/15/2025,9490,Name 1509,"2,025.00",,Barb Mackraz,10/18/2025 08:51:04 AM,Writing and Publishing
Donor 2170,10/16/2025,9491,Name 1510,500.00,359,Barb Mackraz,10/18/2025 08:53:32 AM,OliveSeed Fdn - Operations
Donor 2171,10/18/2025,9502,Name 1511,143.40,59591152,Peter Lee,11/17/2025 12:03:19 PM,OliveSeed Fdn - Operations
Donor 2172,10/22/2025,9492,Name 1512,"1,860.00",598,Barb Mackraz,10/25/2025 11:28:10 AM,School Projects
Donor 2173,10/22/2025,9493,Name 1513,"1,000.00",1799477,Barb Mackraz,10/28/2025 02:12:32 PM,Writing and Publishing
Donor 2174,10/22/2025,9493,Name 1514,500.00,1799477,Barb Mackraz,10/28/2025 02:14:01 PM,OliveSeed Fdn - Operations
Donor 2175,10/23/2025,9503,Name 1515,50.47,59755004,Peter Lee,11/17/2025 12:04:26 PM,OliveSeed Fdn - Operations
